season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
3,Week_8,Mario Lopez,0.2421889657284444,0.13366765882706802,0.3848422523055149,0.06787170130165836,-0.0128853734427911,0.3026569106509522
3,Week_8,Emmitt Smith,0.3222061274123147,0.11113947861085509,0.46415344876848674,0.08920136667126911,0.0100088585832359,0.4533460735815194
3,Week_9,Joey Lawrence,0.2539472567841448,0.17395958606240067,0.5023200683556398,0.08479691308983096,-0.0137218255788263,0.3061921849109386
3,Week_9,Mario Lopez,0.4366504014428758,0.17690771376215308,0.5037581354233319,0.08678845352362925,-0.0128853734427911,0.3026569106509522
3,Week_9,Emmitt Smith,0.3094023417729793,0.1500724047563188,0.5758743369318933,0.10800633994324552,0.0100088585832359,0.4533460735815194
4,Week_1,John Ratzenberger,0.0823861828746742,0.053750017787734194,0.141381813620014,0.02336126091561992,7.676798494159946e-05,0.2546690511270613
4,Week_1,Ian Ziering,0.0747130730679297,0.0489445141354159,0.15224149111653537,0.026560526806873028,-0.0079689251714339,0.2835994199820204
4,Week_1,Clyde Drexler,0.1027407683854825,0.04006791806584929,0.19451547354937276,0.039300717122369995,0.0134552272246367,0.4331498398959408
4,Week_1,Laila Ali,0.08829245536382,0.03432750097557645,0.21041723612460947,0.04321307913671465,0.0062525317619587,0.4767567230224802
4,Week_1,Apolo Anton Ohno,0.0795987602220568,0.035555347237287295,0.19216809851760022,0.04216079966265895,0.0038843993344561,0.492093835270368
4,Week_1,Shandi Finnessey,0.0980907963351098,0.06354576698551405,0.1132722928939877,0.012776527420778859,-0.0318768654833719,0.1243851142225662
4,Week_1,Paulina Porizkova,0.0929481374951778,0.06470218301158245,0.11133436480862485,0.012433940389135353,-0.0256667454098282,0.1144977852990354
4,Week_1,Heather Mills,0.0999164891469927,0.06357391030432705,0.11095188360484931,0.0123564732667329,-0.0270018740043722,0.1163850208025454
4,Week_1,Billy Ray Cyrus,0.1120997325941406,0.05661962972826824,0.13214141891624587,0.01948429170851727,-0.0060532358139734,0.2153222525055021
4,Week_1,Joey Fatone,0.0829387586646148,0.05252104437083716,0.13666525535635327,0.02156398639281147,-0.012313150739981,0.2348873581128107
4,Week_1,Leeza Gibbons,0.0862748458500007,0.04823724508945373,0.15839803145740242,0.028836019314333786,0.0261188689394086,0.3277255451661611
4,Week_10,Laila Ali,0.1817118297970232,0.13719183572668678,0.5911996731715587,0.11640532890538015,0.0062525317619587,0.4767567230224802
4,Week_10,Apolo Anton Ohno,0.4741327076851908,0.14041093388263104,0.590727994484796,0.1205956677415327,0.0038843993344561,0.492093835270368
4,Week_10,Joey Fatone,0.3441554625177859,0.1711324911679074,0.4970907059167632,0.08711495497845682,-0.012313150739981,0.2348873581128107
4,Week_2,John Ratzenberger,0.0891456812307215,0.05292228412270062,0.14103221814187836,0.02300717241787308,7.676798494159946e-05,0.2546690511270613
4,Week_2,Ian Ziering,0.0877615549968776,0.04845584789546779,0.14565198167369153,0.02531820670010397,-0.0079689251714339,0.2835994199820204
